0;Province;City;Place;Rating;Jumlah Rating;Type;Address;Description;Harga;;;;;;;;;;;;;;
1;Aceh;Kabupaten Aceh Barat;Masjid Agung Baitul Makmur Meulaboh;4.7;2947;Religi;Jl. Imam Bonjol No.100, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611;Masjid Agung Baitul Makmur adalah masjid terbesar dan termegah di kawasan pantai sebelah barat Kabupaten Aceh Barat.;;;;;;;;;;;;;;;
2;Aceh;Kabupaten Aceh Barat;Pantai Ceuremen;-;-;Alam;;;;;;;;;;;;;;;;;
3;Aceh;Kabupaten Aceh Barat;Meureubo;-;-;Alam;;;;;;;;;;;;;;;;;Wisata Sejarah, Wisata Alam, Wisata Religi, Wisata Pendidikan
4;Aceh;Kabupaten Aceh Barat;Tugu Kupiah Teuku Umar;4.6;866;Sejarah;44X8+48G, Meulaboh, Kuta Padang, Aceh Barat, Kabupaten Aceh Barat, Aceh 23612;di lokasi syahidnya Teuku Umar telah dibangun sebuah tugu Kupiah Meukeutop, sebagai monumen sejarah bagi generasi penerus.;;;;;;;;;;;;;;;
5;Aceh;Kabupaten Aceh Barat;Pantai Suak Ribe;4.2;320;Alam;5435+MW5, Jl. Iskandar Muda, Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612;Pantai Suak Ribee merupakan salah satu tempat wisata di Aceh Barat yang menawarkan sensasi panorama sunset indah ditemani segelas kopi tubruk yang khas;;;;;;;;;;;;;;;
6;Aceh;Kabupaten Aceh Barat;Pantai Lhok Bubon;4.3;134;Alam;Lhok Bubon, Samatiga, West Aceh Regency, Aceh 23652;Pantai Lhok Bubon yang berada di Meulaboh ini memang terkenal akan aneka hidangan laut yang ditawarkan dan begitu menggugah selera;;;;;;;;;;;;;;;
7;Aceh;Kabupaten Aceh Barat;Air Terjun Pungkie;4.4;5;Alam;G2H4+V5H, Pungkie, Sungai Mas, West Aceh Regency, Aceh 23683;Air Terjun Pungki menjadi salah satu 'Surga' tersembunyi di Aceh Barat.;;;;;;;;;;;;;;;
8;Aceh;Kabupaten Aceh Barat;Suak Ujong Kalak;4.2;6;Alam;Kuta Padang, Johan Pahlawan, West Aceh Regency, Aceh 23612;Kawasan objek wisata pantai yang berada di pesisir laut Samudra Hindia yang terdiri dari Pantai Suak Ujung Kalak, Lhok Geudong, Lhok Bubon, Ujung Karang, Suak Ribe, Batu Putih, Suak Geudubang dan Pantai Kasih merupakan objek wisata pantai andalan Kabupaten Aceh Barat yang ramai dikunjungi wisatawan lokal maupun luar daerah untuk berlibur bersama keluarga. ;;;;;;;;;;;;;;;
9;Aceh;Kabupaten Aceh Barat Daya;Danau Geunang Geudong;3.8;20;Alam;754G+2HW, Putim, Kaway XVI, West Aceh Regency, Aceh 23681;Geunang-Geudong merupakan salah satu tempat wisata alam yang berada di Gampong Putim Kecamatan Kaway XVI Kabupaten Aceh Barat.;;;;;;;;;;;;;;;
10;Aceh;Kabupaten Aceh Barat Daya;Pantai Ujong Manggeng;4.1;73;Alam;JW62+F4P, Sejahtera, Manggeng, Southwest Aceh Regency, Aceh 23762;;;;;;;;;;;;;;;;
11;Aceh;Kabupaten Aceh Barat Daya;Air Terjun Ceuraceu Panto Cut;4.0;12;Alam;RQHG+HG5, Desa, Panto Cut, Kec. Kuala Batee, Kabupaten Aceh Barat Daya, Aceh 23764;;;;;;;;;;;;;;;;
12;Aceh;Kabupaten Aceh Besar;Rumoh Cut Nyak Dien;4.5;1027;Sejarah;G78C+PMF, Lampisang, Peukan Bada, Aceh Besar Regency, Aceh 23232;Rumah Cut Nyak Dhien merupakan rumah panggung khas Aceh yang beratap rumbia dan disangga oleh 65 tiang kayu ulin, atau dalam bahasa Aceh disebut kayu semantok.;;;;;;;;;;;;;;;
13;Aceh;Kabupaten Aceh Besar;Wahana Impian Malaka 69;4.3;2124;Alam;Wahana Impian Malaka, Lam Ara Tunong, Kec. Kuta Malaka, Kabupaten Aceh Besar, Aceh 23373;Tempat wisata bertemakan permainan air ;;;;;;;;;;;;;;;
14;Aceh;Kabupaten Aceh Besar;Masjid Rahmatullah Lampuuk;4.8;823;Religi;F6VP+P47, Meunasah Lambaro, Lhoknga, Aceh Besar Regency, Aceh 23372;Masjid Rahmatullah merupakan sebuah masjid yang terletak di Lampuuk, Kecamatan Lhoknga, Kabupaten Aceh Besar.;;;;;;;;;;;;;;;
15;Aceh;Kabupaten Aceh Besar;Taman Rusa Lam Tanjong;4.3;1616;Alam;F929+45X, Lambirah, SukaMakmur, Aceh Besar Regency, Aceh 23363;Taman Wisata Keluarga;;;;;;;;;;;;;;;
16;Aceh;Kabupaten Aceh Besar;Kebun Kurma Aceh;4.4;753;Alam;Jl. Lintas Blangbintang, Kruengraya, Meurandeh, Kec. Mesjid Raya, Kabupaten Aceh Besar, Aceh 20236;Kebun Kurma;;;;;;;;;;;;;;;
17;Aceh;Kabupaten Aceh Besar;Gurun Putih Lestari Safari Park;4.5;455;Alam; 8G4W+XW Seulimeum, Rabo, Desa, Cucum, Kota Jantho, Aceh Besar Regency, Aceh 23352;Taman Safari Gurun Putih Lestari merupakan salah satu taman edukasi yang memiliki ratusan spesies burung, mamalia dan satwa yang didatangkan dari berbagai daerah di Indonesia maupun mancanegara.;;;;;;;;;;;;;;;
18;Aceh;Kabupaten Aceh Besar;Pasir Putih Beach, Lhok Mee;4.4;602;Alam;Desa Lamreh, Kecamatan Mesjid Raya, Kabupaten Aceh Besar, Aceh.;Merupakan objek wisata populer yang berada di seputaran Desa Lamreh, Kecamatan Masjid Raya, Kabupaten Aceh Barat, Provinsi Aceh.;;;;;;;;;;;;;;;
19;Aceh;Kabupaten Aceh Besar;Bukit Lamreh;4.4;381;Alam;JG8V+CHV, Ujung Kelindu,, Lamreh, Kec. Mesjid Raya, Kabupaten Aceh Besar, Aceh;Bukit ini terbentuk dari batuan karst yang membukit dengan ujung yang menjorok ke laut.;;;;;;;;;;;;;;;
20;Aceh;Kabupaten Aceh Besar;Old Mosque Indrapuri;4.8;256;Religi;CC8W+4MJ, Indra Puri, Indrapuri, Aceh Besar Regency, Aceh 23363;Indrapuri Old Mosque is a mosque in Indrapuri, Indonesia. Constructed in the early 17th-century, it is one of the oldest mosque in Aceh Province;;;;;;;;;;;;;;;
21;Aceh;Kabupaten Aceh Besar;Lhok Mata Ie Beach;4.7;276;Alam;kecamatan Peukan Bada, Aceh Besar;menyuguhkan pasir putih yang dikelilingi pergunungan.;;;;;;;;;;;;;;;
22;Aceh;Kabupaten Aceh Besar;Jantho Panorama Park;4.4;335;Alam;7JM3+94H, Bukit Meusara, Kota Jantho, Aceh Besar Regency, Aceh;antho Panorama Park merupakan objek wisata alam baru yang ada di Aceh Besar dan lokasi wisata tersebut tidak jauh dari pusat kota Jantho;;;;;;;;;;;;;;;
23;Aceh;Kabupaten Aceh Besar;Mata Ie Public Swimming Pool;4.3;546;Alam;F7WW+P9H, Geundring, Darul Imarah, Aceh Besar Regency, Aceh 23234;Pemandian Mata Air (Mata ie), Banda Aceh, Aceh, Indonesia.;;;;;;;;;;;;;;;
24;Aceh;Kabupaten Aceh Besar;Tourism Village Lubuk Sukon;4.4;292;Alam;Lubok Sukon, Ingin Jaya, Aceh Besar Regency, Aceh 23771;Desa Wisata Lubuk Sukon merupakan salah satu dari 75 besar desa wisata terpilih dalam ajang Anugerah Desa Wisata Indonesia (ADWI) 2023;;;;;;;;;;;;;;;
25;Aceh;Kabupaten Aceh Besar;Air Terjun Kuta Malaka;4.4;239;Alam;99R8+CJJ, Lam Ara Tunong, Kuta Malaka, Luthu Lamweu, Kec. SukaMakmur, Kabupaten Aceh Besar, Aceh 23373;Air terjun Kuta Malaka ini terletak di kaki gunung Kuta Malaka yang menjadi gugusan Bukit Barisan, Kabupaten Aceh Besar;;;;;;;;;;;;;;;
26;Aceh;Kabupaten Aceh Besar;Pantai Ujong Batee;4.2;564;Alam;JCX9+XRP, Neuheun, Mesjid Raya, Aceh Besar Regency, Aceh;Pantai Ujong Batee berada di pesisir Aceh Besar bagian timur laut. Berkunjung ke pantai ini, Anda akan mendapatkan suasana penuh kesunyian yang menenangkan;;;;;;;;;;;;;;;
